Asset Id,Asset Name,Host Id,Netbios Name,Mac Address,IPV4 Addresses,IPV6 Addresses,Operating System Category,OS,Operating System Version,Operating System Lifecycle Stage,Hardware Category,Hardware Name,Hardware Lifecycle Stage,CPU Count,CPU Speed (mhz),CPU Description,Total Memory (mb),Bios Description,Bios Serial Number,Bios Asset Tag,Time Zone,Last System Boot,Last Logged-In User,Inventory Source,Agent Id,Inventory Last Updated On,Architecture,Modules,Sources,Criticality Score,TruRisk Score,Hardware Uuid,Activity,Tags
679762276,10.66.179.36,403293184,-,,10.66.179.36,,Unidentified / Unidentified,Unidentified,-,Not Applicable,Unidentified / Unidentified,Unidentified,Not Applicable,0,-,-,-,-,-,-,-,-,Unknown,IP,-,"Jul 24, 2024",-,VM,IP,2,334,-,"Jul 24, 2024",-
679869609,10.66.179.35,403288865,-,,10.66.179.35,,Unidentified / Unidentified,Unidentified,-,Not Applicable,Unidentified / Unidentified,Unidentified,Not Applicable,0,-,-,-,-,-,-,-,-,Unknown,IP,-,"Jul 24, 2024",-,VM,IP,2,242,-,"Jul 24, 2024",-
679826015,10.66.179.37,403280006,-,,10.66.179.37,,Unidentified / Unidentified,Unidentified,-,Not Applicable,Unidentified / Unidentified,Unidentified,Not Applicable,0,-,-,-,-,-,-,-,-,Unknown,IP,-,"Jul 24, 2024",-,VM,IP,2,333,-,"Jul 24, 2024",-
679756466,10.66.179.34,403277690,-,,10.66.179.34,,Unidentified / Unidentified,Unidentified,-,Not Applicable,Unidentified / Unidentified,Unidentified,Not Applicable,0,-,-,-,-,-,-,-,-,Unknown,IP,-,"Jul 24, 2024",-,VM,IP,2,240,-,"Jul 24, 2024",-
659180224,windows,390163732,WINDOWS,"DC:41:A9:BF:6B:F7,00:50:56:C0:00:08,0A:00:27:00:00:05,00:50:56:C0:00:01,00:50:56:C0:00:08,0A:00:27:00:00:05,00:50:56:C0:00:01,DC:41:A9:BF:6B:F7","10.34.176.146,192.168.23.1,192.168.56.1,192.168.88.1","fe80:0:0:0:302b:2823:eb0d:5dba,fe80:0:0:0:b351:12b8:fa75:8f5f,fe80:0:0:0:bd57:adf7:ad2b:1e04,fe80:0:0:0:c0c6:d7bd:d505:2622",Windows / Client,Microsoft Windows 11 Pro 23H2 Build 22631.3737 64-Bit,23H2,GA,Computers / Notebook,Lenovo ThinkPad T14s Gen 1 20T1S0Q300,GA,1,2208,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,16103,LENOVO N2YET24W (1.13 ),PC1PQEQY,NoAssetInformation,+05:30,"Jul 3, 2024",sreen,QAGENT,86417c1e-5fac-4105-920a-1224da88f407,"Jul 16, 2024",64-bit,VM,Cloud Agent,2,337,D74A0FCC-2C13-11B2-A85C-885AB9B17E1B,"Jul 19, 2024",Cloud Agent
